case_id,red_speed,red_tr,red_br,blue_tr,blue_br,red_total,blue_total,diff,winner,red_transfer,red_tower,red_mustika,blue_transfer,blue_tower,blue_mustika,red_sanctuary_at,blue_sanctuary_at,red_mustika_at,blue_mustika_at,mustika_owner,red_complete_towers,blue_complete_towers,red_delivered_earth,red_delivered_sky,blue_delivered_earth,blue_delivered_sky
196,1/2,Earth先行補給,L1最速サンクチュアリ,BR要求に追従,スカイ反転圧力,105,180,-75,blue,35,70,0,40,140,0,,141.4,,,,1,2,5,2,5,3
197,1/2,Earth先行補給,L1最速サンクチュアリ,Earth先行補給,L1最速サンクチュアリ,105,440,-335,blue,35,70,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
198,1/2,Earth先行補給,L1最速サンクチュアリ,Earth先行補給,L2高得点寄せ,105,510,-405,blue,35,70,0,50,210,250,,137.8,,178,blue,1,2,5,2,7,3
199,1/2,Earth先行補給,L1最速サンクチュアリ,Earth先行補給,共有エリア先取り,110,365,-255,blue,30,80,0,45,70,250,,116.2,,159.4,blue,1,1,5,1,6,3
200,1/2,Earth先行補給,L1最速サンクチュアリ,Earth先行補給,スカイ反転圧力,105,440,-335,blue,35,70,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
201,1/2,Earth先行補給,L1最速サンクチュアリ,Sky先置き準備,L1最速サンクチュアリ,105,430,-325,blue,35,70,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
202,1/2,Earth先行補給,L1最速サンクチュアリ,Sky先置き準備,L2高得点寄せ,105,250,-145,blue,35,70,0,40,210,0,,143,,,,1,2,5,2,5,3
203,1/2,Earth先行補給,L1最速サンクチュアリ,Sky先置き準備,共有エリア先取り,110,380,-270,blue,30,80,0,40,90,250,,110.6,,153.8,blue,1,1,5,1,5,3
204,1/2,Earth先行補給,L1最速サンクチュアリ,Sky先置き準備,スカイ反転圧力,105,430,-325,blue,35,70,0,40,140,250,,133.2,,177.2,blue,1,2,5,2,5,3
205,1/2,Earth先行補給,L2高得点寄せ,BR要求に追従,L1最速サンクチュアリ,175,180,-5,blue,35,140,0,40,140,0,,141.4,,,,1,2,5,2,5,3
206,1/2,Earth先行補給,L2高得点寄せ,BR要求に追従,L2高得点寄せ,175,250,-75,blue,35,140,0,40,210,0,,150.2,,,,1,2,5,2,5,3
207,1/2,Earth先行補給,L2高得点寄せ,BR要求に追従,共有エリア先取り,175,180,-5,blue,35,140,0,40,140,0,,143.8,,,,1,2,5,2,5,3
208,1/2,Earth先行補給,L2高得点寄せ,BR要求に追従,スカイ反転圧力,175,180,-5,blue,35,140,0,40,140,0,,141.4,,,,1,2,5,2,5,3
209,1/2,Earth先行補給,L2高得点寄せ,Earth先行補給,L1最速サンクチュアリ,175,440,-265,blue,35,140,0,50,140,250,,131.8,,175.8,blue,1,2,5,2,7,3
